NAME,PER,RA,DEC,STAR,MSTAR,TEFF,DIST
Kepler-208 b,4.22864,19.59268055597941,42.52796944406298,Kepler-208,,6092,
M 67 YBP 1194 b,6.958,8.850225000000663,11.81465555508932,M 67 YBP 1194,1.01,5780,843.335
Kepler-1084 b,2.05333679,19.34013055536482,48.2511388888624,Kepler-1084,1.12,6113,427
Kepler-616 b,9.99761851,19.66594166649712,46.83833333333334,Kepler-616,0.98,5753,1019
Kepler-325 d,38.715185,19.32236111111111,49.82563055568271,Kepler-325,,5752,
Kepler-1065 c,2.37030743,19.63408333334658,38.79049999978807,Kepler-1065,0.94,5635,1078
Kepler-1464 c,5.32786292,19.14904444482591,38.75416666666667,Kepler-1464,1.02,5828,692
Kepler-340 c,22.824669,19.72890000025431,40.3005694444312,Kepler-340,,6620,
Kepler-682 b,12.61190667,19.27414722230699,51.73738888899485,Kepler-682,0.92,5559,951
Kepler-507 b,3.56809693,19.80125555555026,50.40897222201029,Kepler-507,1.16,6113,410
HD 40307 c,9.62,5.901194444497427,-60.02332499980926,HD 40307,0.74,4977,12.9955
HD 142 b,350.3,0.1051833332909478,-49.07509444448684,HD 142,1.232,6248.6,25.7136
Kepler-257 b,2.382667,19.82106944455041,46.02326111104753,Kepler-257,,5180,
Kepler-976 b,105.9564148,19.32464166641235,46.7296944448683,Kepler-976,0.87,5232,1020
WASP-10 b,3.0927616,23.26619416660733,31.46283333354526,WASP-10,0.79,4675,90.0901
Kepler-982 b,15.7738221,19.22784444491068,46.59041666666667,Kepler-982,1.16,6139,702
GJ 328 b,4100,8.918777777751286,1.549047222137451,GJ 328,0.69,3900,19.8
WASP-17 b,3.735433,15.99748527738783,-28.06174999978807,WASP-17,1.19,6550,400
HAT-P-17 b,10.338523,21.63575888898637,30.48872222211626,HAT-P-17,0.857,5246,90.0009
Kepler-162 b,6.919798,19.81858888891008,43.72401944425371,Kepler-162,,5816,
Kepler-487 c,38.6519976,19.68581388897366,41.22197222232819,Kepler-487,0.91,5444,835
HD 67087 b,352.2,8.127713889016047,31.55140833338102,HD 67087,1.36,6330,88.8
Kepler-293 c,54.155743,19.09053888903724,42.40651111125946,Kepler-293,,5804,
HD 102329 b,778.1,11.77963055504693,3.474338889122009,HD 102329,1.3,4745,158.003
Kepler-872 b,2.57885507,19.69449722184075,43.60563888867696,Kepler-872,1.05,5902,1114
Kepler-1542 d,5.99273738,19.04856666670905,42.65452777756585,Kepler-1542,0.94,5564,336
HD 159868 b,1178.4,17.64991944419013,-43.14510277748108,HD 159868,1.16,5558,58.6854
K2-21 b,9.32414,22.68691222217348,-14.48888888888889,K2-21,0.64,4043,65
Kepler-424 b,3.3118644,19.90832611136966,48.57744444423252,Kepler-424,1.01,5460,
Kepler-262 c,21.853722,19.38191111140781,37.2526499999894,Kepler-262,,5841,
WASP-117 b,10.02165,2.45169361114502,-50.28444444444444,WASP-117,1.126,6040,
WASP-75 b,2.484193,22.82571333355374,-10.67552777767181,WASP-75,1.14,6100,260
Kepler-1293 b,5.57654784,19.33506111105283,48.33594444433848,Kepler-1293,1.18,6241,770
Kepler-222 b,3.936981,19.19373888863458,46.93776944451862,Kepler-222,,5433,
Kepler-334 b,5.470319,19.14271111064487,47.11518888897366,Kepler-334,,5828,
HD 114783 b,493.7,13.21218611081441,-2.265063888761732,HD 114783,0.853,5135.09,20.5002
GJ 581 e,3.14945,15.32431944423252,-7.722038888931275,GJ 581,0.31,3498,6.24532
Kepler-1638 b,259.33683,19.69882777743869,48.52444444444444,Kepler-1638,0.97,5710,879
Kepler-605 b,3.38353807,19.15302777767181,43.27986111111111,Kepler-605,0.91,5462,570
Kepler-327 c,5.212333,19.50948888884651,44.08766944434908,Kepler-327,,3799,
Kepler-793 b,4.24153639,19.68110833379957,38.77433333343929,Kepler-793,0.98,5745,794
Kepler-1555 b,8.10501635,19.17569722175598,45.71605555534363,Kepler-1555,1.04,5866,1382
Kepler-419 b,69.7546,19.69452777756585,51.18472222222222,Kepler-419,1.39,6430,
epsilon Ret b,428.1,4.274744444423251,-59.30175000005298,epsilon Ret,1.24,4781,18.2382
